descricao
HASTE INTRAMEDULAR FEMORAL
INTRODUTOR PERCUTÂNEO
IMOBILIZADOR
COMPONENTE PERSIANA
OBRAS CIVIS DE PAVIMENTACAO ASFALTICA
INSTALACAO / MANUTENCAO - CERCA / ALAMBRADO / TELA
BERTALHA IN - NATURA
AGUARRÁS MINERAL
MUCOPOLISSACARÍDEO
GRAMPO ORTOPÉDICO IMPLANTÁVEL
LUVA EMENDA COMPRESSÃO
ÁLCOOL METÍLICO
ANEL
MATERIAL VETERINÁRIO
ACESSÓRIO / COMPONENTE PARA MICROCOMPUTADOR
DISPOSITIVO MAGNETICO
BORNAL
CORTINA AR
ELETRODO MEDIÇÃO PH
BARRA MAGNÉTICA
ESPÁTULA LABORATÓRIO
ERLENMEYER
AREIA - FILTRACAO DE AGUA
GORDURA
METARAMINOL
CONTATOR AUXILIAR
TRANSFORMADOR CORRENTE
MANILHA-SAPATILHA
BASE FUSÍVEL DIAZED
CHAMADAS LOCAIS FIXO-FIXO STFC-LOCAL-FF
AGULHA EQUIPAMENTO FONOGRÁFICO
EQUIPAMENTO DE SONDA ROTATIVA ( PERFURACAO ROCHA )
NEOMICINA
BLOQUEIO FONTE ENERGIA
MONTELUCASTE SÓDICO
MOXIFLOXACINO
PONTA P/ SERINGA MATERIAIS VISCOSOS
ORGANIZADOR CLÍNICO USO ODONTOLÓGICO
CAMA
BAÚ FERRAMENTAS
PRESTACAO DE SERVICOS DE COPEIRAGEM
PAINEL ALARME
LEITOR DE LIVRO DIGITAL
ARBITRAGEM / MEDIACAO CIVIL E COMERCIAL
MESA COZINHA
IMPRESSORA 3D
GANCHO METÁLICO
CAPA PRONTUÁRIO
RELÉ SUPERVISÃO
INSTALACAO / MANUTENCAO - ILUMINACAO TRAVESSIA URBANA / OBRADE ARTE ESPECIAL
MACARRÃO
MANGUEIRA ALTA PRESSÃO
PLACA CIRCUITO IMPRESSO
CONFECCAO DE CORDAO PARA CRACHA
CABEÇA IMPRESSÃO
DIOSMINA
POLTRONA ESCRITÓRIO
IMPRESSORA OFF SET - PLANA / ROTATIVA
PROTEÍNA
"EMISSAO DE CERTIFICADO DIGITAL A3, SEM TOKEN PESSOA   FISICA"
SISTEMA IMPLANTÁVEL P/ ESTIMULAÇÃO CARDÍACA
CURVÍMETRO
AR CONDICIONADO PORTÁTIL
SERRA FITA
CONJUNTO CADEIRAS ESPERA
HIDRATO DE CLORAL
RISQUE RABISQUE
ESTUDOS E PROJETOS DE SANEAMENTO - TRATAMENTO DESPEJO  INDUSTRIAL
OCULOS - VISAO NOTURNA
FILME POLIETILENO
CAPACITOR FIXO POLIÉSTER
SULFATO DE AMÔNIO E FERRO
ÁCIDO BÓRICO
ÓXIDO DE ALUMÍNIO
TRICLOROETILENO  (TCE)
CIANETO DE COBRE
CLORETO DE BÁRIO
ÁCIDO CÍTRICO
PAPEL NÃO CLORADO
CONJUNTO TALAS ORTOPÉDICAS
CORTA - FIO
DESUMIDIFICADOR DE PAPEL
SACA - ROLHA
MICROESFERA JATEAMENTO
TRANSFORMADOR DE POTENCIA A SECO 1KV A 25KV
ÁLBUM
CONJUNTO PARA LIMPEZA
DOSÍMETRO DIGITAL
RÉGUA MEDIÇÃO TANQUE COMBUSTÍVEL
COURO SINTÉTICO
PEÇA / ACESSÓRIO CÂMARA FOTOGRÁFICA / FILMADORA
PEDRA PARA POLIR
COBRE CORPO
CABEÇOTE REFLETOR - USO ODONTOLÓGICO
MEDIDOR VAZÃO
MANUTENCAO DE INSTRUMENTOS ELETRICOS
TESTE OFTALMOLÓGICO
RIFAMICINA
PROGESTERONA
MICROÔNIBUS
PERICIA / LAUDO / AVALIACAO - TECNICA
ÓLEO PARA PULVERIZAÇÃO AGRÍCOLA
GRAFICO - FORMULARIOS PLANOS
PORTAL MADEIRA
TELHA
ARMÁRIO BANHEIRO
CARNE BOVINA IN NATURA
PARACETAMOL
FÓSFORO
PRATO
HIALURONIDASE
"""MACARRÃO"""
REQUEIJÃO
FRUTA DESIDRATADA
"""LEITE CONDENSADO"""
UVA PASSA
SOLUÇÃO LIMPEZA MULTIUSO
LENÇO UMEDECIDO
ESCOVA LIMPEZA GERAL
MICROFILMAGEM
CANETA HIDROGRÁFICA
PINCEL ATÔMICO
RÉGUA ESCRITÓRIO
"""PAPEL A3"""
TUBO PLÁSTICO
SOLUÇÃO
TÊ - CONEXÃO PARA TUBOS CANOS - ROSCÁVEL
JANELA
RAÇÃO ANIMAL
MINGAU
GRAFITE
FILME PLASTIFICAÇÃO DOCUMENTO
SECANTE
EQUIPAMENTO / ACESSÓRIO ANIMAL
SANDUÍCHE
TINTA BASE ÁGUA
COMERCIALIZACAO / RECONDICIONAMENTO DE PECA E COMPONENTE
INSTALACAO / MANUTENCAO DE SISTEMA DE SINALIZACAO TRANSITO   VERTICAL / HORIZONTAL
CHAVE ELÉTRICA
METOTREXATO
ERIBULINA MESILATO
MANUTENCAO / REPARO - CAMARA REAGENTE
REVELADOR RADIOLÓGICO
SOQUETE LÂMPADA
SHORT MASCULINO
DISJUNTOR
CHUVEIRO ELÉTRICO
DISJUNTOR ALTA TENSÃO
CHAVE FUSIVEL
DESENGRIMPANTE
TRIETANOLAMINA
ÁLCOOL PROPÍLICO
CONE ENDODÔNTICO
MATRIZ ODONTOLÓGICA
ESCOVA DE ROBSON USO ODONTOLÓGICO
RESINA COMPOSTA
GESSO - USO ODONTOLÓGICO
CONJUNTO (I)
CARTUCHO TINTA IMPRESSORA HP
INSTALACAO / MANUTENCAO DE VIDRO TEMPERADO/ LAMINADO/CRISTALACRILICO/EM PORTA / JANELA / BOX
CINTO USO MÉDICO
LUPA
CORREIA TRANSMISSÃO
FILTRO ÓLEO LUBRIFICANTE
FUSÍVEL LIMITADOR CORRENTE
LIQUIDIFICADOR INDUSTRIAL
DIFENIDRAMINA
ESTRIBO
PRENDEDOR PORTA
OTOSCÓPIO
ALICATE COMPRESSÃO HIDRÁULICO
LIMPEZA DE FOSSA / ESGOTO / BOCA DE LOBO
APRESENTADOR MULTIMÍDIA
LIMPEZA / RECUPERACAO DE CARPETES E TAPETES
SUPORTE PORTA-PAPEL
BATERIA SELADA
PASTILHA FREIO
ESPELHO RETROVISOR VEÍCULO AUTOMOTIVO
CONJUNTO MOTOR BOMBA
ENGRAXADEIRA
TRAVESSA
BANDEJA DE AÇO
GALHETEIRO
ÁCIDO TRANEXÂMICO
NIVELADOR PARA MEDICAO E INSPECAO
DISPENSADOR DE SENHAS
FIO GUIA
FERRO PARA SOLDA A GAS
"""BACON DEFUMADO"""
GOSSERRELINA ACETATO
LÂMPADA INCANDESCENTE
EMBREAGEM REDUTORA DE VELOCIDADE
CLORETO DE NÍQUEL
OBRAS CIVIS DE FUNDACOES DIRETAS
ANALISE FISICO - QUIMICA AGUA
PROBIÓTICO
TERLIPRESSINA
FACA CIRÚRGICA
MANUTENCAO EM EQUIPAMENTOS DE CONSULTORIO ODONTOLOGICO
SOLUÇÃO TAMPÃO
MANTA ANTIESTÁTICA
ARREIO ANIMAL
FERRADURA
MICROCHIP
ARTES MARCIAIS - ARTIGOS / ACESSÓRIOS / PROTETORES
JUNTA VEDAÇÃO PLANA
ESPREMEDOR FRUTA
MÁQUINA LAVAR ROUPA
RELÓGIO PULSO
ADESIVO CIRÚRGICO
PRESILHA DE CABO / CORDA
GLOBO DE LUMINARIA
ALÇA PRÉ-FORMADA DISTRIBUIÇÃO
CONJUNTO ASPIRAÇÃO INTRA-UTERINO
PAPEL PARA IMPRESSÃO - USO HOSPITALAR
CHAVE CONTATO
PRESTACAO DE SERVICO DE LIMPEZA E CONSERVACAO - AREAS  INTERNAS - 44 HORAS SEMANAIS DIURNAS - PRODUTIVIDADE 600 M2
PALIPERIDONA
DONEPEZILA
BROQUEIRO
SISTEMA FIXADOR DE CABECA - USO MEDICO / CIRURGICO
MARCADOR IMAGEM
TERAPIA DE PRESSÃO NEGATIVA P/ FERIDAS
CONJUNTO DELIMITADOR FILA
CANTIL
PONTA IRRIGAÇÃO
DESTACADOR ORTONDÔNTICO
REFRIGERADOR DUPLEX
AGENTE EMBÓLICO
ENXERTO TIPO PATCH
MASTRO DE ANTENA
BATEDEIRA DOMÉSTICA
RELÉ DE NÍVEL
INTERFONE
PAPEL GRANITO
BOMBA VÁCUO
MAÇARICO SOLDA
APARELHO MONITORAMENTO INTRA-OPERATÓRIO
PLUGUE PROLONGADOR
TRANSFORMADOR ACIMA DE 1 KVA
CONFECCAO / INSTALACAO DE ARTEFATO TEXTEIS / COURO / BORRACHA / LONA
PENTOXIFILINA
ARQUIVO DESLIZANTE PEÇAS / ACESSÓRIOS
CARRO COLETOR LIXO
PÓ DE PEDRA
ENGENHARIA MINAS
REVESTIMENTO EXTERNO - MANGUEIRA
ROLAMENTO AXIAL ESFERA
INSTALACAO E MONTAGEM DE ISOLAMENTO TERMICO
RESFRIADOR DE LÍQUIDO
SUPORTE P/ ORTODONTIA
O-TOLIDINA
CILINDRO HIDRÁULICO
NITRATO DE PRATA
FITA GRAVAÇÃO
ESTOJO CD ROM
BRAÇAL
VEÍCULO PICK-UP
MANUTENCAO DE PONTES E PORTICOS ROLANTES
TORRADA
INIBIDOR DE CORROSÃO
ANDAIME
BALCÃO TÉRMICO
BATEDEIRA MANTEIGA INDUSTRIAL
PANELA PRESSÃO
SOPEIRA
CONJUNTO DE ELETRODO DE BATERIA
BOMBA DE INFUSÃO
TESOURA P/ VIDEOCIRURGIA
PAINEL CONTROLE ELÉTRICO
CERA ASSOALHO INSETICIDA
SINALIZADOR SEGURANÇA
REVELACAO DE FILME FOTOGRAFICO / AMPLIACAO DE FOTOGRAFIA
LOCACAO DE EMBARCACAO MARITIMA / FLUVIAL
ROLETE CILINDRICO
AFERICAO E/OU CALIBRACAO DE SENSORES
CONJUNTO CHAVES COMBINADAS POLEGADAS
CAMISA ENDOSCÓPICA*
TUBO DE POLIPROPILENO
PEÇAS E ACESSÓRIOS SOLDA
PISTOLA PINTURA
TIGECICLINA
BARRA ALUMÍNIO
PERSIANA TIPO CORTINA
CAIBRO
FRIOS
OMEPRAZOL
DICLOFENACO
NORFLOXACINO
LEVODOPA
DIPIRONA SÓDICA
VINAGRE
"""DOCE EM TABLETE"""
"""ARROZ IN - NATURA"""
BEBIDA ALCOÓLICA
CALDO TEMPERO CULINÁRIO
SUPORTE MONITOR VÍDEO
REGISTRO PRESSÃO
AVENTAL
PLÁSTICO ADESIVO
PAPEL CARTOLINA
ARCO SERRA
BANCADA
ADESIVO USO GERAL
BOLSA LIGAÇÃO
MARRETA
BRAÇADEIRA ELETRODUTO
CABO EXTENSOR
BATERIA TELEFONE
LOCACAO / MANUTENCAO  DE EQUIPAMENTOS PERMANENTES
PEÇA / ACESSÓRIO CAPACETE
CAPA CHUVA
RESPIRADOR
CORREIA MOTOR VENTILADOR
TUBO CARGA BUTANO
FITA ADESIVA EMBALAGEM
APAGADOR QUADRO NEGRO
PROTETOR FACIAL
LIMPADOR IMPUREZAS
LIMPA BORDA
SERVICOS DE GERENCIA DE REDES MOVEIS E DE USUARIOS DESSAS REDES
FORNECIMENTO DE REFEICOES / LANCHES / SALGADOS / DOCES
JUNTA AUTOMOTIVA
FILTRO DE ÁGUA
MOTOR DIESEL
ROLO PINTURA PREDIAL
TANQUE
DOCETAXEL
IMATINIBE MESILATO
DEFERASIROX
BENZINA
ARRENDAMENTO
TRANSFORMADOR POTÊNCIA
TUBO
COMPRESSA HOSPITALAR
LÂMPADA VAPOR SÓDIO ALTA PRESSÃO
CORTADOR DE FERRO
BULA
CLORETO DE BENZALCÔNIO
INSTRUMENTAL ORTODÔNTICO
TIRA ABRASIVA - USO ODONTOLÓGICO
MILHO VERDE IN - NATURA
CEPA PADRÃO
MANGUEIRA COMBATE INCÊNDIO
CARRO LIMPEZA
AMINOFILINA
FILME PLÁSTICO
LENTE
RESISTOR FIO
FLUORURACILA
PRESTACAO DE SERVICO DE LIMPEZA E CONSERVACAO - AREAS EXTER-NAS - OUTRAS NECESSIDADES - OUTRA PRODUTIVIDADE
ESCOVA P/ CITOLOGIA
FIO ORTODÔNTICO
EVIDENCIADOR DENTAL
DISPOSITIVO EXTERNO P/ INCONTINÊNCIA URINÁRIA
ROTULADOR
DIETA ENTERAL
APARELHO CONTROLE COAGULAÇÃO
GRAMPEADOR CIRÚRGICO CIRCULAR INTRALUMINAL
TORQUÍMETRO ESTALO ESCALA (LB.POL)
CONJUNTO DILATADOR
HIGIENIZACAO DE ARTIGOS DE TECIDO/COURO/ESTOFAMENTO
ESTOFAMENTO MOVEIS
CALIBRE FIXADOR
CHUVEIRO NÃO ELÉTRICO
CONTROLE QUALIDADE - LABORATORIO
REAGENTE ANALÍTICO 2
CABO VEÍCULO AUTOMOTIVO
BANQUETA
EQUIPAMENTO PROFISSIONAL RADIOCOMUNICAÇÃO EM VHF
CABO ELÉTRICO ISOLADO
PAQUÍMETRO UNIVERSAL
APARELHO DE DETERMINACAO DE QUANTIDADE DE ENXOFRE
ASPIRADOR PÓ / ÁGUA - INDUSTRIAL
CONJUNTO MANIFOLD
LEUPRORRELINA ACETATO
SWITCH
EQUIPAMENTO PARA COMUNICAÇÃO
TAMBOR FREIO
PRESTACAO DE SERVICO DE LIMPEZA E CONSERVACAO - AREAS INTER-NAS- 44 HORAS SEMANAIS DIURNAS - PRODUTIVIDADE 800 A 1200 M2
FIXADOR EXTERNO
OBRAS CIVIS DE LINHAS DE DISTRIBUICAO DE ENERGIA ELETRICA
CONFECCAO / INSTALACAO - VIDRO / ESPELHO / MOLDURA
MISTURA GASOSA
CARPETE
SINVASTATINA
CISATRACÚRIO BESILATO
TAMPA CONDULETE
COLEIRA
ARMÁRIO COPA/COZINHA
MELOXICAM
ESTEIRA ELÉTRICA
MATERIAL PARA PLASTIFICACAO
REFIL TINTA
CHAVE ELÉTRICA TIPO BÓIA
SISTEMA P/ CORREÇÃO DA INCONTINÊNCIA URINÁRIA
CONJUNTO NEFROSTOMIA PERCUTÂNEA
REPRODUCAO / ENCADERNACAO
TINTA ARTÍSTICA
APARELHO TELEFÔNICO CELULAR
MÁQUINA LAVADORA
REAGENTE ANALÍTICO 1
MICROCATETER 1
XILENO
LUVA ELETRODUTO
IGNITOR
TERMINAL ELÉTRICO
ARIPIPRAZOL
LOSARTANA POTÁSSICA
REDE DE DORMIR
CORANTE TINTA
COMPONENTE APARELHO ORTODÔNTICO
MANUTENCAO AERONAVE - TRANSFORMADOR / GERADOR
MATERIAL PARA SISTEMA PNEUMÁTICO
CANELEIRA
SUPORTE DE EXTINTOR DE INCENDIO
BROCA CIRÚRGICA
PONTE DE DIODO
POLIHEXANIDA
SULFATO DE ALUMÍNIO E POTÁSSIO
ASSINATURA DE ENTRONCAMENTO DIGITAL BIDIRECIONAL E1
PAQUÍMETRO - USO MÉDICO
MICROCOMPUTADOR PESSOAL TIPO LAPTOP
NAVALHA
SUPORTE PLACA CIRCUITO IMPRESSO
CONFECCAO / MAGNETIZACAO - CARTAO PERSONALIZADO
BROMAZEPAM
IMIPENEM
FARINHA DE TRIGO
TUPIA INDUSTRIAL
ESPAGUETE HIDROGINÁSTICA
ASSADEIRA
COPO DE VIDRO
FRIGIDEIRA
TRANSFERIDOR
FICHA PAUTADA
NEUTRALIZANTE QUÍMICO
EVAPORADOR
RESERVATÓRIO DRENO
MÁSCARA CONTRA GASES
2-METIL-2-METOXIPROPANO
4-METILPENTAN-2-ONA
TRANSFORMADOR A SECO
AÇUCAREIRO
MÁQUINA LAVAR / SECAR ROUPA - PEÇA/ACESSÓRIO
BENZOATO DE BENZILA
FORNECIMENTO / TRANSPORTE DE AGUA - CARRO PIPA
CASCA ARROZ
TRANSILUMINADOR
PLACA DE ALERTA DE SEGURANCA
MESA REUNIÃO QUADRADA
GRAFICO - IMPRESSO USO OFICIAL / SEGURANCA
ADUBO ANIMAL
PONTEIRA DE FERRO DE SOLDA
CANECO DE METAL
PINÇA ENDOSCÓPICA
ESCADA DE CORDA DE EMBARCACAO
INSTALACAO E MONTAGEM DE EQUIPAMENTOS MECANICOS/ELETROMECANICOS
PRENDEDOR PARA CORRENTE
INSENSIBILIZADOR PNEUMÁTICO
CELECOXIBE
CHAMADAS INTERNACIONAIS (LDI-STFC-FM) - ORIGEM FIXO
CONJUNTO DE CONTATO DE BATERIA
CAFÉ
RELÓGIO CARIMBADOR
CESTA BÁSICA - GÊNEROS ALIMENTÍCIOS
METOCLOPRAMIDA CLORIDRATO
COPO DESCARTÁVEL
FLUOXETINA
LANSOPRAZOL
HALOPERIDOL
FLUORESCEÍNA
GÁS LIQUEFEITO DE PETRÓLEO - GLP
CAMA HOSPITALAR
CIANOCOBALAMINA
NIMESULIDA
FRUTA SECA
"""PÃO DE QUEIJO"""
PIMENTA DO REINO
CERA
PAPEL HIGIÊNICO
DESINFETANTE
CORRETIVO LÍQUIDO
PODADOR
MOEDA DE COLECAO
PORTA OBJETO CONJUGADO
PLÁSTICO BOLHA
APAGADOR QUADRO BRANCO
BEBEDOURO ÁGUA
MANUTENCAO DE EQUIPAMENTOS DE COZINHA INDUSTRIAL
LUVA CONEXÃO
RASPADOR - PEÇAS E ACESSÓRIOS
CINTO SEGURANÇA
ADESIVO ESTRUTURAL
CHAVE ESTRELA
BLOCO DE CONCRETO
TESOURA PORTÁTIL
FERRAMENTA TERMINAÇÃO CABEAMENTO
CONCESSAO USO - AREA / IMOVEL PUBLICO
DISTRIBUIDOR SORVETE
"""GELÉIA MOCOTÓ"""
CINTA SUSPENSÃO CARGA
CAPACITOR FIXO ELETROLÍTICO ALUMINÍO
EQUIPAMENTO MULTIUSO COZINHA
PAPEL LEMBRETE
CORRETIVO SECO
LAPISEIRA
PORTA-PAPEL
UNIDADE CD-ROM
ACIDULANTE
SOLUÇÃO LIMPEZA
INSTALACAO / REMOCAO DE DIVISORIA / PAINEL / PERSIANA / JANELA / PORTA / ESQUADRIA EM GERAL
ALHO EM PASTA
TINTA AUTOMOTIVA
PORTA-ETIQUETA
EQUIPO DE INFUSÃO DE CONTRASTE
BOMBA INJETORA COMBUSTÍVEL
SOLDA
FITA ISOLANTE ELÉTRICA ADESIVA
SERVICO EDUCACIONAL - POS - GRADUACAO / DOUTORADO
VIGA SUSTENTACAO ( EPI )
DECITABINA
LANCETA
COLETOR MATERIAL PÉRFURO-CORTANTE
MANUTENCAO GERADOR ELETRICO
ATADURA
PORTA LÂMINA
LUVA ISOLANTE
LEVOFLOXACINO
MILRINONA
SORBITOL
PROPILENOGLICOL
BABADOR
ALICATE ORTODÔNTICO
SELANTE
CURSO / TREINAMENTO - IDIOMA ESTRANGEIRO
ESPALHANTE ADESIVO
GRAMPEADOR CIRÚRGICO
PERNEIRA
MORFINA
MICROCOMPUTADOR
MICROSCÓPIO
VIDRO TEMPERADO
RODA CARRO TRANSPORTE MATERIAL
FORNO INDUSTRIAL
FUNDO NIVELADOR
VASO
CONFECCAO ESTRUTURAS METALICAS
TUBO DE ALUMINIO PARA FIM ELETRICO
DESSENSIBILIZANTE DENTINÁRIO
GARFO JARDINAGEM
ALICATE
CLAREADOR
PLACA ORTOPÉDICA - PEQUENOS E GRANDES FRAGMENTOS
CABO BISTURI
CAMA CONJUGADA
EQUIPAMENTO LABORATÓRIO
CUBETA LABORATÓRIO
PRESTACAO SERVICO SUPERVISOR DE PESSOAL
MÁQUINA DE CORTAR METAL
MOTOSERRA INDUSTRIAL
ROÇADEIRA AGRÍCOLA
PROMETAZINA CLORIDRATO
TREINAMENTO QUALIFICACAO PROFISSIONAL
VÁLVULA DE PÉ
CIMENTO REFRATÁRIO
BAINHA
REMOVEDOR
INVERSOR FREQUÊNCIA
EPINEFRINA
ABIRATERONA  ACETATO
FOTEMUSTINA
CONCENTRADOR
EQUIPAMENTO DISTRIBUIÇÃO CABOS
CORREIA
MOTOR DE PARTIDA - VEÍCULO AUTOMOTIVO
CANETA PONTA POROSA
PAPEL RECADO AUTO-ADESIVO
DOBRADOR CANO / TUBO
PRESTACAO DE SERVICO DE LIMPEZA E CONSERVACAO - ESQUADRIAS  EXTERNAS - OUTRAS NECESSIDADES - OUTRA PRODUTIVIDADE
PISTACHE
CURETA
ALFAEPOETINA
SULFATO DE MAGNÉSIO
PLACA CAPTURA VÍDEO
CHAVE DE TESTE ELÉTRICO
BOLSA TÉRMICA
CÂMERA VÍDEO DE SEGURANÇA
VARA DE MANOBRA
CONVERSOR CABO COAXIAL
ESTRIBO SELA MONTARIA
INSUFLADOR AR ESTÉRIL
EQUIPAMENTO DE ENSAIO POR ULTRA - SOM
ESPUMADEIRA
CHAPA ASSADEIRA/FRITADEIRA
DICROMATO DE POTÁSSIO
DOBUTAMINA CLORIDRATO
SISTEMA ILUMINAÇÃO
BARBEIRO / CABELEIREIRO / MAQUIADOR
UNIDADE FITA MAGNETICA
TOBRAMICINA
ACESSÓRIO CANALETA
CONDUITE FLEXIVEL / ELETRODUTO METALICO FLEXIVEL
MANUTENCAO AERONAVE - AVIAO / HELICOPTERO / ULTRALEVE
NITROFURANTOÍNA
PAVIO - LAMPARINA / TOUCHEIRA
"""TOALHA BANHO"""
INDICADOR DE SELAGEM
ACESSÓRIO IMPRESSORA JATO DE TINTA
UNIDADE CENTRAL PROCESSAMENTO
FILTRO PARA HEMODERIVADOS
GELO REUTILIZÁVEL
FORRO ISOLANTE TÉRMICO
GRAMPEADOR TIPO PISTOLA
FELTRO
METRO DOBRÁVEL
COALHO
ISOLADOR SUPORTE
BETUME
TRANSFORMADOR COMANDO
LEITEIRA
CHAVE FIM DE CURSO
MANUTENCAO DE MATERIAL HOSPITALAR
DELIMITADOR TRÁFEGO
COLCHONETE
"""QUEIJO"""
CHAVEADORA
CENTRAL MONITORAMENTO
LOCACAO DE EQUIPAMENTO AUDIOVISUAL / SOM / VIDEO / FILMAGEM
ESPECÍMETRO
MAQUIAGEM
ESTABILIZADOR
FARINHA DE MANDIOCA
REFIL RECARGA IMPRESSORA
BALCÃO
RELÓGIO DATADOR
EXTENSOR DE BRACO PARA GINASTICA
TABLET
CARTUCHO TINTA IMPRESSORA BROTHER
COMPONENTE ANCILAR - ORTOPEDIA
TERRÔMETRO
MEGÔMETRO
DETECTOR FETAL
MESA REUNIÃO OVAL - SEMI OVAL
PEÇAS / COMPONENTES CANHÃO
UNIDADE AUXILIAR ODONTOLÓGICA
BANDEJA EXPEDIENTE
LUXÍMETRO
ABAFADOR IMPRESSORA
COLETE IDENTIFICAÇÃO
URÉIA
CARBURETO DE CÁLCIO
"MANUTENCAO / INSTALACAO DE TRANSFORMADORES ATE 34,5KV"
PAINEL DE ESTRUTURACAO DE DADOS
ALINHAMENTO EM VEICULO AUTOMOTIVO
AR RESPIRAVEL - MANUTENCAO EQUIPAMENTO AUTONOMO
LUVA COURO - SALVAMENTO
SERVICO DE LINK VIA CABO
VALVULA DE COMANDO HIDRAULICO
DISJUNTOR-MOTOR
BOLSA TRANSPORTE LUVAS
ENVOLTÓRIO - TANQUE VÁCUO
PEÇA P/ PRÓTESE
INSTALACOES PREDIAIS ELETRONICAS ( OBRAS CIVIS )
TRANSPORTE INTERMODAL / MULTIMODAL
MANUTENCAO / INSTALACAO - NOBREAK
CIRCUITO INTEGRADO
RACECADOTRILA
CONJUNTO OBTURADOR CAIXA DESCARGA
ACESSÓRIO / COMPONENTE - MICROFILMAGEM
SUPORTE LENÇOL DESCARTÁVEL
LEGUME IN NATURA
CÁLICE
LIDOCAÍNA CLORIDRATO
PAPEL FILME
MEIO DE CULTURA
CLARITROMICINA
NISTATINA
ROÇADEIRA MANUAL
PERSIANA
VERDURA IN NATURA*
OLEO COMESTIVEL
"""FARINHA MILHO"""
DESENTUPIDOR PIA
POLIDOR
PRESTACAO DE SERVICO DE LIMPEZA E CONSERVACAO -  AREAS INTERNAS - OUTRAS NECESSIDADES - OUTRA PRODUTIVIDADE
SACO PLÁSTICO LIXO
PORTA
TOALHA DE PAPEL
PLACA
CARRO TANQUE
ADESIVO CONEXÃO HIDRÁULICA
SIFÃO
TÊ - CONEXÃO PARA TUBOS E CANOS - SOLDÁVEL
BOTÃO ACIONAMENTO CAIXA DESCARGA
PARAFUSO
TOMADA
BASCULANTE
SELADOR
PENTE DE MEMÓRIA
MISTURA ALIMENTÍCIA
VESTUÁRIO COMBATE A INCÊNDIO
BALDE DE ARMAZENAMENTO DE MATERIAL
COMPRESSOR REFRIGERAÇÃO
TOALHA MESA
REFLETOR ILUMINAÇÃO
CAÇAROLA
GARRAFA TÉRMICA
